,GEO.id,GEO.id2,GEO.display-label,EST_VC03,EST_VC05,EST_VC06,EST_VC11,EST_VC12,EST_VC13,EST_VC41,EST_VC42,EST_VC48,EST_VC55,EST_VC56,EST_VC58,EST_VC59,EST_VC63,EST_VC91,EST_VC92,EST_VC93,EST_VC94,EST_VC95,EST_VC108,EST_VC110,EST_VC112,EST_VC115,EST_VC116,EST_VC134,EST_VC135,EST_VC166,EST_VC167,EST_VC171,EST_VC187,EST_VC190,EST_VC191,EST_VC192,EST_VC194,EST_VC281,EST_VC283,EST_VC284,Year
501,0400000US13,13,Georgia,98.6,0.1,0.0,7.6,18.7,9.8,9415488,54.8,3469845,31.9,14.8,3.2,17.1,3.31,72.1,19.8,1349949,65.8,27.4,27.2,2518541,55718,5497784,4.4,8.7,8.2,87.5,12.5,66.8,11.9,1.8,4.8,27.0,4558341,19.7,18.1,12.7,2008
555,0400000US15,15,Hawaii,78.6,6.3,0.8,6.7,15.4,10.1,1253999,52.7,437105,30.6,15.1,4.0,15.5,3.43,66.7,26.3,152317,62.6,30.9,29.1,305513,5884,781950,6.4,9.6,4.9,74.6,25.4,67.5,16.2,3.4,4.6,26.1,630229,9.6,8.4,8.9,2008
597,0400000US16,16,Idaho,97.4,0.1,0.0,7.9,19.2,9.9,1489274,59.4,566004,30.0,15.0,3.9,15.0,3.12,70.9,23.1,203395,68.7,26.1,22.7,366226,6301,847124,3.0,11.2,7.9,89.9,10.1,66.6,12.9,3.6,5.3,20.2,724740,15.1,12.9,11.4,2008
611,0400000US17,17,Illinois,98.3,0.1,0.0,6.9,17.7,10.3,12556223,56.4,4766252,34.1,15.7,3.1,18.4,3.29,68.1,24.4,1790235,62.9,30.1,29.4,3268056,63319,7493651,3.4,8.6,4.5,78.1,21.9,67.7,9.4,1.6,4.0,28.5,6343853,16.8,15.4,10.6,2008
683,0400000US18,18,Indiana,98.1,0.1,0.0,7.0,17.9,9.7,6188016,60.3,2480570,33.5,16.1,3.4,17.4,3.06,70.9,22.7,841128,66.3,28.0,22.4,1573390,33575,3741017,3.0,9.7,6.1,92.8,7.2,66.8,10.1,1.5,3.1,23.2,3090635,17.9,16.1,11.3,2008
726,0400000US19,19,Iowa,98.5,0.1,0.0,6.6,17.0,10.5,2896874,63.9,1215351,34.9,16.2,3.7,18.6,2.92,67.4,25.3,398386,62.3,30.7,24.2,715128,12938,1786251,1.9,9.8,6.5,93.6,6.4,70.2,11.0,1.4,4.4,18.5,1601243,13.8,12.1,10.6,2008
749,0400000US20,20,Kansas,97.3,0.1,0.0,7.2,17.7,10.6,2719982,62.0,1110829,33.7,16.0,3.0,17.7,3.00,67.3,25.1,382258,64.4,29.5,28.9,682702,14479,1611110,2.5,10.3,7.0,90.1,9.9,70.5,10.3,1.5,4.2,19.1,1449434,14.0,12.1,10.2,2008
782,0400000US21,21,Kentucky,98.6,0.1,0.0,6.6,17.0,9.1,4154217,61.0,1686277,33.2,15.0,2.4,18.3,3.03,72.2,21.2,535304,65.9,27.8,19.7,1057585,21917,2573497,3.4,8.6,6.4,95.8,4.2,61.1,11.3,1.0,2.9,22.6,1906465,23.0,21.0,15.4,2008
803,0400000US22,22,Louisiana,98.9,0.1,0.0,7.0,18.1,10.7,4287760,55.6,1625153,32.7,15.1,2.6,17.5,3.25,73.3,18.9,595754,65.7,27.5,20.4,1124309,35500,2506080,4.9,9.1,6.0,91.9,8.1,62.2,10.9,1.9,2.4,25.3,1993397,24.4,22.4,14.8,2008
828,0400000US23,23,Maine,98.4,0.1,0.0,5.4,15.5,8.6,1278584,63.7,542363,36.6,16.3,4.6,20.3,2.88,70.8,24.0,156407,63.9,31.4,26.1,317790,4520,853230,2.3,8.6,5.7,92.9,7.1,66.0,10.9,1.8,5.2,23.3,664571,15.3,13.7,11.4,2008
843,0400000US24,24,Maryland,97.9,0.2,0.0,6.6,17.2,9.8,5490748,56.4,2092692,33.3,14.5,3.2,18.8,3.22,67.6,25.3,776446,60.3,33.6,34.7,1464034,28186,3370575,3.6,6.7,5.9,84.9,15.1,70.6,10.8,1.3,3.8,31.5,2951517,9.8,9.0,7.4,2008
897,0400000US25,25,Massachusetts,97.9,0.1,0.0,5.9,16.1,10.3,6254371,58.1,2467323,36.4,16.3,3.8,20.1,3.17,64.1,28.5,873217,58.8,34.6,37.3,1676571,27213,3978439,2.7,7.8,5.0,79.0,21.0,68.9,8.6,1.7,3.9,27.3,3390763,11.6,10.9,9.4,2008
962,0400000US26,26,Michigan,97.8,0.2,0.0,6.2,17.7,9.8,9745075,58.5,3810801,33.7,15.7,3.0,18.0,3.16,68.6,25.4,1395904,62.9,31.8,23.9,2484965,47833,5989677,2.9,9.4,5.0,91.2,8.8,63.9,9.4,1.2,3.5,24.0,4568252,19.0,17.8,12.8,2008
1023,0400000US27,27,Minnesota,98.2,0.1,0.0,6.8,17.1,9.9,5076803,62.3,2089449,35.7,17.0,3.7,18.7,3.02,69.2,23.7,685603,63.2,30.2,30.9,1303385,25465,3095320,1.9,7.6,6.1,90.3,9.7,72.2,9.4,1.7,4.9,22.6,2826129,10.9,9.8,9.1,2008
1071,0400000US28,28,Mississippi,99.1,0.0,0.0,7.3,18.7,10.6,2838766,56.5,1094208,31.0,14.4,2.6,16.6,3.16,73.2,20.5,419606,63.6,29.9,19.6,734070,21851.0,1657730,5.2,8.8,6.3,96.4,3.6,60.9,12.3,1.7,2.2,24.1,1257832,30.2,29.0,17.9,2008
1087,0400000US29,29,Missouri,98.0,0.1,0.0,6.7,17.3,9.7,5742733,60.8,2330040,34.4,15.7,3.2,18.6,3.04,70.9,22.2,771465,65.0,29.1,24.5,1465150,26440.0,3508959,2.9,9.6,7.0,94.4,5.6,66.5,11.1,1.2,4.2,23.8,2888439,18.2,16.3,11.7,2008
1127,0400000US30,30,Montana,97.6,0.1,0.0,6.4,16.6,10.0,940844,60.4,375598,36.7,18.3,3.9,18.4,3.11,70.8,23.7,118460,66.6,28.0,27.6,228795,4221.0,585323,2.4,9.0,8.1,95.3,4.7,66.2,11.4,2.7,6.5,17.9,483916,19.7,17.8,13.1,2008
1141,0400000US31,31,Nebraska,97.8,0.1,0.0,7.3,17.7,10.4,1730439,61.7,704143,35.0,16.7,3.2,18.3,3.04,67.6,25.0,243929,63.0,31.1,26.6,429867,7569.0,1027270,2.0,9.8,6.7,90.9,9.1,72.2,10.2,1.3,4.9,18.0,954432,12.9,11.2,9.9,2008
1161,0400000US32,32,Nevada,96.8,0.3,0.0,7.6,18.1,8.5,2566803,54.6,952856,35.5,19.4,5.3,16.0,3.32,76.3,19.3,312334,71.3,24.6,21.2,632088,11718.0,1516240,3.7,14.7,5.6,72.1,27.9,69.1,12.1,2.0,3.0,24.0,1273822,14.5,13.2,10.0,2008
1198,0400000US33,33,New Hampshire,98.6,0.1,0.0,5.7,16.6,9.1,1277158,61.2,505286,31.7,15.6,4.8,16.1,3.01,69.5,23.7,165093,64.9,29.2,32.3,330453,3392.0,825410,2.2,6.9,5.8,92.1,7.9,71.1,8.4,1.4,5.1,26.0,720067,8.5,7.6,7.2,2008
1212,0400000US34,34,New Jersey,98.1,0.1,0.0,6.4,17.2,8.9,8486322,56.2,3154012,31.3,13.9,2.8,17.3,3.29,69.6,22.2,1142991,63.6,28.5,33.2,2168090,38618.0,5347123,3.4,5.8,4.0,72.1,27.9,68.0,9.1,2.2,3.3,30.1,4385019,12.1,11.2,7.5,2008
1295,0400000US35,35,New Mexico,96.8,0.2,0.0,7.4,17.9,10.3,1942019,55.7,741399,35.0,17.1,3.5,17.9,3.26,69.5,23.9,268984,65.5,30.0,24.8,484932,15617.0,1136299,4.0,10.0,6.2,64.6,35.4,63.0,12.7,2.4,4.5,21.9,903291,23.9,21.6,14.8,2008
1324,0400000US36,36,New York,98.0,0.1,0.0,6.2,16.4,10.3,18881537,54.8,7137482,35.8,15.9,3.4,19.9,3.33,67.0,26.4,2600033,61.4,32.7,31.8,5010234,84851.0,11782087,3.4,6.7,3.8,71.0,29.0,64.6,7.7,1.7,3.9,31.6,9430635,18.8,18.2,12.0,2008
1446,0400000US37,37,North Carolina,98.3,0.1,0.0,7.0,17.3,9.7,8940285,60.1,3595175,33.3,15.2,3.3,18.1,3.05,70.9,22.2,1213415,64.6,29.4,26.1,2324058,44884.0,5473870,3.4,9.3,7.3,90.2,9.8,66.3,11.5,1.3,4.3,23.4,4375102,19.5,18.2,12.8,2008
1498,0400000US38,38,North Dakota,98.7,0.0,0.0,6.3,15.7,12.7,614274,67.5,274743,37.8,19.4,3.6,18.4,2.82,61.5,32.2,79948,59.0,36.3,27.1,154315,3144.0,370352,1.4,9.1,7.2,94.5,5.5,71.0,10.0,1.7,6.1,16.0,349140,14.8,12.9,11.0,2008
1507,0400000US39,39,Ohio,98.2,0.1,0.0,6.5,17.3,9.5,11171144,59.9,4508871,34.9,15.9,2.9,19.0,3.08,70.0,23.2,1525658,63.9,30.1,23.3,2835019,59722.0,6898643,3.0,9.8,5.0,94.0,6.0,66.0,8.9,1.2,3.3,22.9,5559664,18.1,16.2,11.7,2008
1564,0400000US40,40,Oklahoma,93.4,0.3,0.0,7.2,17.7,10.3,3527094,60.0,1407933,33.5,14.8,2.8,18.7,3.09,70.5,21.8,475161,66.0,27.8,21.6,885806,18268.0,2096194,3.9,11.0,8.1,91.6,8.4,63.9,11.9,1.7,3.6,21.2,1711674,22.0,20.4,13.7,2008
1609,0400000US41,41,Oregon,96.5,0.2,0.0,6.4,16.5,9.0,3708440,59.5,1474755,36.3,16.7,4.2,19.6,3.09,70.0,23.6,457556,66.0,28.6,27.5,917183,18499.0,2306747,2.6,10.4,7.0,86.0,14.0,65.3,10.8,3.2,5.9,22.5,1840290,17.5,16.0,12.3,2008
